Player,G,WS,BPM,VORP
Joe Wieskamp,4.0,0.0,-1.2,0.0
Aaron Wiggins,9.0,0.1,-6.7,-0.2
Andrew Wiggins,25.0,2.5,0.2,0.4
Grant Williams,26.0,1.6,-0.6,0.2
Kenrich Williams,21.0,0.9,-0.3,0.2
Lou Williams,20.0,0.0,-5.4,-0.2
Patrick Williams,5.0,0.3,-4.3,-0.1
Robert Williams,19.0,2.3,2.0,0.5
Ziaire Williams,19.0,-0.1,-8.3,-0.5
Dylan Windler,18.0,0.4,-1.0,0.0
Justise Winslow,17.0,0.0,-4.2,-0.1
Cassius Winston,1.0,0.0,-17.9,0.0
Christian Wood,24.0,1.6,-0.3,0.3
Robert Woodard,1.0,0.0,-8.9,0.0
Delon Wright,23.0,0.8,1.5,0.3
McKinley Wright IV,1.0,0.0,-1.0,0.0
Thaddeus Young,20.0,0.9,2.8,0.4
Trae Young,25.0,3.2,4.3,1.4
Omer Yurtseven,17.0,0.2,-3.8,0.0
Cody Zeller,24.0,1.1,-1.9,0.0
Ivica Zubac,26.0,3.1,1.6,0.6
