Player,Salary,salary_per_cap,G,WS,BPM,VORP,TS%,PER,Year
Nik Stauskas,2745840.0,0.0435398398477761,73.0,0.5,-3.3,-0.4,0.492,7.5,2015
Brian Roberts,2732000.0,0.04332038373107112,72.0,1.8,-1.7,0.1,0.495,11.7,2015
Udonis Haslem,2732000.0,0.04332038373107112,62.0,1.4,-3.7,-0.4,0.488,10.6,2015
Kirk Hinrich,2730000.0,0.043288670419408544,66.0,1.0,-3.8,-0.7,0.468,6.8,2015
Andre Drummond,2568360.0,0.04072560057083961,82.0,7.7,-0.1,1.2,0.504,21.4,2015
Trey Burke,2548560.0,0.04041163878538016,76.0,2.4,-1.4,0.3,0.455,12.6,2015
Noah Vonleh,2524200.0,0.04002537064933006,25.0,0.5,-3.1,-0.1,0.475,13.2,2015
Tobias Harris,2511432.0,0.039822912867676204,68.0,4.8,0.5,1.5,0.551,16.7,2015
DeMarre Carroll,2500000.0,0.039641639578212956,70.0,7.0,1.7,2.0,0.603,15.9,2015
James Johnson,2500000.0,0.039641639578212956,70.0,4.1,2.4,1.5,0.617,17.9,2015
Austin Rivers,2439840.0,0.03868770316340284,76.0,1.5,-2.8,-0.3,0.481,10.3,2015
Austin Rivers,2439840.0,0.03868770316340284,35.0,0.7,-3.0,-0.2,0.472,10.1,2015
Austin Rivers,2439840.0,0.03868770316340284,41.0,0.8,-2.7,-0.1,0.488,10.6,2015
Shelvin Mack,2433333.0,0.038584523903908666,55.0,1.3,-1.7,0.1,0.489,13.2,2015
CJ McCollum,2421000.0,0.038388963767541424,62.0,1.8,-0.6,0.4,0.534,13.1,2015
Elfrid Payton,2397840.0,0.03802172361848886,82.0,2.3,-1.2,0.5,0.456,13.8,2015
Kenneth Faried,2373537.0,0.03763635931182114,75.0,5.6,-0.1,1.0,0.548,18.4,2015
Reggie Jackson,2325680.0,0.03687750733370332,77.0,4.9,1.1,1.8,0.511,17.2,2015
Reggie Jackson,2325680.0,0.03687750733370332,50.0,2.9,0.7,0.9,0.511,15.6,2015
Reggie Jackson,2325680.0,0.03687750733370332,27.0,2.0,1.9,0.9,0.511,19.8,2015
Meyers Leonard,2317920.0,0.036754459684452546,55.0,2.8,0.6,0.6,0.631,14.8,2015
Michael Carter-Williams,2300040.0,0.03647094267818917,66.0,0.8,-1.1,0.5,0.461,14.1,2015
Michael Carter-Williams,2300040.0,0.03647094267818917,41.0,-0.5,-2.0,0.0,0.444,12.8,2015
Michael Carter-Williams,2300040.0,0.03647094267818917,25.0,1.3,0.6,0.5,0.496,16.3,2015
Doug McDermott,2277960.0,0.03612082771743439,36.0,0.0,-6.0,-0.3,0.48,6.1,2015
Nick Collison,2242003.0,0.035550669943708875,66.0,2.2,-1.0,0.3,0.485,11.2,2015
Jeremy Lamb,2202000.0,0.03491635614048997,47.0,1.6,1.6,0.6,0.538,14.9,2015
Steven Adams,2184960.0,0.03464615872512487,70.0,4.1,-1.3,0.3,0.549,14.1,2015
Norris Cole,2150188.0,0.03409479108855942,75.0,1.4,-2.8,-0.4,0.483,10.9,2015
Norris Cole,2150188.0,0.03409479108855942,47.0,0.6,-3.0,-0.3,0.452,9.9,2015
Norris Cole,2150188.0,0.03409479108855942,28.0,0.7,-2.4,0.0,0.52,12.6,2015
